tick,entry_stream,area,count
0,birth_slot,nsw,16016
0,birth_slot,vic,12466
0,birth_slot,qld,10154
0,birth_slot,sa,3199
0,birth_slot,wa,5465
0,birth_slot,tas,966
0,birth_slot,nt,629
0,birth_slot,act,892
0,overseas_slot,nsw,27933
0,overseas_slot,vic,22821
0,overseas_slot,qld,14244
0,overseas_slot,sa,4029
0,overseas_slot,wa,9444
0,overseas_slot,tas,789
0,overseas_slot,nt,926
0,overseas_slot,act,1549
1,birth_slot,nsw,15943
1,birth_slot,vic,12401
1,birth_slot,qld,10094
1,birth_slot,sa,3188
1,birth_slot,wa,5432
1,birth_slot,tas,960
1,birth_slot,nt,626
1,birth_slot,act,887
1,overseas_slot,nsw,27806
1,overseas_slot,vic,22729
1,overseas_slot,qld,14159
1,overseas_slot,sa,4012
1,overseas_slot,wa,9393
1,overseas_slot,tas,785
1,overseas_slot,nt,921
1,overseas_slot,act,1544
1,retired_slot,nsw,115
1,retired_slot,vic,94
1,retired_slot,qld,71
1,retired_slot,sa,15
1,retired_slot,wa,31
1,retired_slot,tas,10
1,retired_slot,nt,2
1,retired_slot,act,8
2,birth_slot,nsw,15849
2,birth_slot,vic,12340
2,birth_slot,qld,10043
2,birth_slot,sa,3166
2,birth_slot,wa,5400
2,birth_slot,tas,955
2,birth_slot,nt,623
2,birth_slot,act,883
2,overseas_slot,nsw,27674
2,overseas_slot,vic,22630
2,overseas_slot,qld,14087
2,overseas_slot,sa,3993
2,overseas_slot,wa,9351
2,overseas_slot,tas,782
2,overseas_slot,nt,917
2,overseas_slot,act,1540
2,retired_slot,nsw,243
2,retired_slot,vic,181
2,retired_slot,qld,132
2,retired_slot,sa,28
2,retired_slot,wa,60
2,retired_slot,tas,12
2,retired_slot,nt,7
2,retired_slot,act,19
3,birth_slot,nsw,15754
3,birth_slot,vic,12280
3,birth_slot,qld,9996
3,birth_slot,sa,3148
3,birth_slot,wa,5373
3,birth_slot,tas,953
3,birth_slot,nt,620
3,birth_slot,act,878
3,overseas_slot,nsw,27568
3,overseas_slot,vic,22546
3,overseas_slot,qld,14032
3,overseas_slot,sa,3979
3,overseas_slot,wa,9290
3,overseas_slot,tas,780
3,overseas_slot,nt,914
3,overseas_slot,act,1536
3,retired_slot,nsw,358
3,retired_slot,vic,264
3,retired_slot,qld,189
3,retired_slot,sa,42
3,retired_slot,wa,96
3,retired_slot,tas,17
3,retired_slot,nt,10
3,retired_slot,act,29
4,birth_slot,nsw,15668
4,birth_slot,vic,12236
4,birth_slot,qld,9934
4,birth_slot,sa,3129
4,birth_slot,wa,5342
4,birth_slot,tas,950
4,birth_slot,nt,619
4,birth_slot,act,871
4,overseas_slot,nsw,27451
4,overseas_slot,vic,22457
4,overseas_slot,qld,13948
4,overseas_slot,sa,3965
4,overseas_slot,wa,9237
4,overseas_slot,tas,775
4,overseas_slot,nt,912
4,overseas_slot,act,1532
4,retired_slot,nsw,505
4,retired_slot,vic,349
4,retired_slot,qld,248
4,retired_slot,sa,64
4,retired_slot,wa,137
4,retired_slot,tas,23
4,retired_slot,nt,16
4,retired_slot,act,32
5,birth_slot,nsw,15574
5,birth_slot,vic,12180
5,birth_slot,qld,9884
5,birth_slot,sa,3109
5,birth_slot,wa,5314
5,birth_slot,tas,943
5,birth_slot,nt,617
5,birth_slot,act,866
5,overseas_slot,nsw,27363
5,overseas_slot,vic,22356
5,overseas_slot,qld,13881
5,overseas_slot,sa,3948
5,overseas_slot,wa,9182
5,overseas_slot,tas,773
5,overseas_slot,nt,908
5,overseas_slot,act,1528
5,retired_slot,nsw,621
5,retired_slot,vic,429
5,retired_slot,qld,314
5,retired_slot,sa,85
5,retired_slot,wa,175
5,retired_slot,tas,28
5,retired_slot,nt,23
5,retired_slot,act,39
6,birth_slot,nsw,15484
6,birth_slot,vic,12120
6,birth_slot,qld,9830
6,birth_slot,sa,3093
6,birth_slot,wa,5289
6,birth_slot,tas,935
6,birth_slot,nt,614
6,birth_slot,act,862
6,overseas_slot,nsw,27267
6,overseas_slot,vic,22278
6,overseas_slot,qld,13802
6,overseas_slot,sa,3929
6,overseas_slot,wa,9119
6,overseas_slot,tas,769
6,overseas_slot,nt,904
6,overseas_slot,act,1522
6,retired_slot,nsw,724
6,retired_slot,vic,508
6,retired_slot,qld,382
6,retired_slot,sa,105
6,retired_slot,wa,219
6,retired_slot,tas,34
6,retired_slot,nt,31
6,retired_slot,act,44
7,birth_slot,nsw,15401
7,birth_slot,vic,12046
7,birth_slot,qld,9773
7,birth_slot,sa,3077
7,birth_slot,wa,5266
7,birth_slot,tas,931
7,birth_slot,nt,614
7,birth_slot,act,859
7,overseas_slot,nsw,27141
7,overseas_slot,vic,22182
7,overseas_slot,qld,13736
7,overseas_slot,sa,3914
7,overseas_slot,wa,9055
7,overseas_slot,tas,767
7,overseas_slot,nt,896
7,overseas_slot,act,1514
7,retired_slot,nsw,844
7,retired_slot,vic,588
7,retired_slot,qld,460
7,retired_slot,sa,130
7,retired_slot,wa,264
7,retired_slot,tas,38
7,retired_slot,nt,35
7,retired_slot,act,49
8,birth_slot,nsw,15324
8,birth_slot,vic,11989
8,birth_slot,qld,9718
8,birth_slot,sa,3053
8,birth_slot,wa,5249
8,birth_slot,tas,928
8,birth_slot,nt,607
8,birth_slot,act,850
8,overseas_slot,nsw,27027
8,overseas_slot,vic,22091
8,overseas_slot,qld,13675
8,overseas_slot,sa,3902
8,overseas_slot,wa,8992
8,overseas_slot,tas,763
8,overseas_slot,nt,895
8,overseas_slot,act,1504
8,retired_slot,nsw,955
8,retired_slot,vic,670
8,retired_slot,qld,518
8,retired_slot,sa,143
8,retired_slot,wa,292
8,retired_slot,tas,42
8,retired_slot,nt,39
8,retired_slot,act,57
9,birth_slot,nsw,15235
9,birth_slot,vic,11920
9,birth_slot,qld,9658
9,birth_slot,sa,3037
9,birth_slot,wa,5225
9,birth_slot,tas,921
9,birth_slot,nt,603
9,birth_slot,act,841
9,overseas_slot,nsw,26918
9,overseas_slot,vic,22002
9,overseas_slot,qld,13613
9,overseas_slot,sa,3882
9,overseas_slot,wa,8932
9,overseas_slot,tas,757
9,overseas_slot,nt,893
9,overseas_slot,act,1501
9,retired_slot,nsw,1062
9,retired_slot,vic,762
9,retired_slot,qld,591
9,retired_slot,sa,157
9,retired_slot,wa,321
9,retired_slot,tas,50
9,retired_slot,nt,40
9,retired_slot,act,62
10,birth_slot,nsw,15160
10,birth_slot,vic,11864
10,birth_slot,qld,9604
10,birth_slot,sa,3024
10,birth_slot,wa,5208
10,birth_slot,tas,913
10,birth_slot,nt,599
10,birth_slot,act,839
10,overseas_slot,nsw,26804
10,overseas_slot,vic,21934
10,overseas_slot,qld,13546
10,overseas_slot,sa,3867
10,overseas_slot,wa,8874
10,overseas_slot,tas,755
10,overseas_slot,nt,893
10,overseas_slot,act,1493
10,retired_slot,nsw,1175
10,retired_slot,vic,856
10,retired_slot,qld,663
10,retired_slot,sa,177
10,retired_slot,wa,351
10,retired_slot,tas,53
10,retired_slot,nt,44
10,retired_slot,act,66
11,birth_slot,nsw,15071
11,birth_slot,vic,11807
11,birth_slot,qld,9551
11,birth_slot,sa,3003
11,birth_slot,wa,5183
11,birth_slot,tas,910
11,birth_slot,nt,591
11,birth_slot,act,830
11,overseas_slot,nsw,26680
11,overseas_slot,vic,21862
11,overseas_slot,qld,13493
11,overseas_slot,sa,3848
11,overseas_slot,wa,8828
11,overseas_slot,tas,754
11,overseas_slot,nt,890
11,overseas_slot,act,1488
11,retired_slot,nsw,1269
11,retired_slot,vic,960
11,retired_slot,qld,720
11,retired_slot,sa,194
11,retired_slot,wa,387
11,retired_slot,tas,61
11,retired_slot,nt,46
11,retired_slot,act,70
12,birth_slot,nsw,15001
12,birth_slot,vic,11752
12,birth_slot,qld,9494
12,birth_slot,sa,2991
12,birth_slot,wa,5160
12,birth_slot,tas,905
12,birth_slot,nt,589
12,birth_slot,act,822
12,overseas_slot,nsw,26551
12,overseas_slot,vic,21791
12,overseas_slot,qld,13425
12,overseas_slot,sa,3830
12,overseas_slot,wa,8772
12,overseas_slot,tas,752
12,overseas_slot,nt,885
12,overseas_slot,act,1480
12,retired_slot,nsw,1363
12,retired_slot,vic,1033
12,retired_slot,qld,782
12,retired_slot,sa,217
12,retired_slot,wa,421
12,retired_slot,tas,72
12,retired_slot,nt,52
12,retired_slot,act,77
13,birth_slot,nsw,14917
13,birth_slot,vic,11701
13,birth_slot,qld,9449
13,birth_slot,sa,2970
13,birth_slot,wa,5135
13,birth_slot,tas,901
13,birth_slot,nt,585
13,birth_slot,act,815
13,overseas_slot,nsw,26443
13,overseas_slot,vic,21707
13,overseas_slot,qld,13359
13,overseas_slot,sa,3813
13,overseas_slot,wa,8710
13,overseas_slot,tas,748
13,overseas_slot,nt,880
13,overseas_slot,act,1473
13,retired_slot,nsw,1461
13,retired_slot,vic,1108
13,retired_slot,qld,848
13,retired_slot,sa,233
13,retired_slot,wa,468
13,retired_slot,tas,79
13,retired_slot,nt,53
13,retired_slot,act,82
14,birth_slot,nsw,14844
14,birth_slot,vic,11635
14,birth_slot,qld,9393
14,birth_slot,sa,2955
14,birth_slot,wa,5117
14,birth_slot,tas,895
14,birth_slot,nt,582
14,birth_slot,act,814
14,overseas_slot,nsw,26326
14,overseas_slot,vic,21632
14,overseas_slot,qld,13294
14,overseas_slot,sa,3788
14,overseas_slot,wa,8661
14,overseas_slot,tas,747
14,overseas_slot,nt,874
14,overseas_slot,act,1466
14,retired_slot,nsw,1605
14,retired_slot,vic,1205
14,retired_slot,qld,917
14,retired_slot,sa,258
14,retired_slot,wa,505
14,retired_slot,tas,83
14,retired_slot,nt,57
14,retired_slot,act,90
15,birth_slot,nsw,14748
15,birth_slot,vic,11583
15,birth_slot,qld,9336
15,birth_slot,sa,2937
15,birth_slot,wa,5091
15,birth_slot,tas,888
15,birth_slot,nt,573
15,birth_slot,act,809
15,overseas_slot,nsw,26213
15,overseas_slot,vic,21540
15,overseas_slot,qld,13241
15,overseas_slot,sa,3769
15,overseas_slot,wa,8613
15,overseas_slot,tas,742
15,overseas_slot,nt,867
15,overseas_slot,act,1461
15,retired_slot,nsw,1725
15,retired_slot,vic,1290
15,retired_slot,qld,973
15,retired_slot,sa,278
15,retired_slot,wa,541
15,retired_slot,tas,89
15,retired_slot,nt,61
15,retired_slot,act,94
16,birth_slot,nsw,14682
16,birth_slot,vic,11530
16,birth_slot,qld,9283
16,birth_slot,sa,2924
16,birth_slot,wa,5069
16,birth_slot,tas,885
16,birth_slot,nt,570
16,birth_slot,act,806
16,overseas_slot,nsw,26105
16,overseas_slot,vic,21451
16,overseas_slot,qld,13169
16,overseas_slot,sa,3749
16,overseas_slot,wa,8563
16,overseas_slot,tas,740
16,overseas_slot,nt,864
16,overseas_slot,act,1453
16,retired_slot,nsw,1843
16,retired_slot,vic,1366
16,retired_slot,qld,1032
16,retired_slot,sa,300
16,retired_slot,wa,576
16,retired_slot,tas,93
16,retired_slot,nt,65
16,retired_slot,act,102
17,birth_slot,nsw,14603
17,birth_slot,vic,11477
17,birth_slot,qld,9239
17,birth_slot,sa,2908
17,birth_slot,wa,5049
17,birth_slot,tas,881
17,birth_slot,nt,563
17,birth_slot,act,799
17,overseas_slot,nsw,25985
17,overseas_slot,vic,21365
17,overseas_slot,qld,13103
17,overseas_slot,sa,3734
17,overseas_slot,wa,8510
