tick,entry_stream,area,count
0,birth_slot,0,150
0,birth_slot,1,145
0,birth_slot,2,145
0,birth_slot,3,144
0,overseas_slot,0,62
0,overseas_slot,1,62
0,overseas_slot,2,61
0,overseas_slot,3,60
0,internal_slot,0,37
0,internal_slot,1,37
0,internal_slot,2,38
0,internal_slot,3,38
1,birth_slot,0,161
1,birth_slot,1,147
1,birth_slot,2,158
1,birth_slot,3,148
1,overseas_slot,0,59
1,overseas_slot,1,62
1,overseas_slot,2,60
1,overseas_slot,3,60
1,internal_slot,0,36
1,internal_slot,1,36
1,internal_slot,2,37
1,internal_slot,3,38
2,birth_slot,0,163
2,birth_slot,1,147
2,birth_slot,2,163
2,birth_slot,3,156
2,overseas_slot,0,57
2,overseas_slot,1,62
2,overseas_slot,2,60
2,overseas_slot,3,60
2,internal_slot,0,36
2,internal_slot,1,36
2,internal_slot,2,37
2,internal_slot,3,38
3,birth_slot,0,170
3,birth_slot,1,145
3,birth_slot,2,164
3,birth_slot,3,168
3,overseas_slot,0,55
3,overseas_slot,1,61
3,overseas_slot,2,59
3,overseas_slot,3,60
3,internal_slot,0,36
3,internal_slot,1,36
3,internal_slot,2,37
3,internal_slot,3,38
4,birth_slot,0,176
4,birth_slot,1,154
4,birth_slot,2,170
4,birth_slot,3,172
4,overseas_slot,0,54
4,overseas_slot,1,58
4,overseas_slot,2,59
4,overseas_slot,3,59
4,internal_slot,0,36
4,internal_slot,1,36
4,internal_slot,2,36
4,internal_slot,3,37
5,birth_slot,0,183
5,birth_slot,1,158
5,birth_slot,2,177
5,birth_slot,3,185
5,overseas_slot,0,51
5,overseas_slot,1,57
5,overseas_slot,2,58
5,overseas_slot,3,57
5,internal_slot,0,35
5,internal_slot,1,35
5,internal_slot,2,36
5,internal_slot,3,36
6,birth_slot,0,191
6,birth_slot,1,161
6,birth_slot,2,184
6,birth_slot,3,189
6,overseas_slot,0,50
6,overseas_slot,1,57
6,overseas_slot,2,57
6,overseas_slot,3,53
6,internal_slot,0,35
6,internal_slot,1,35
6,internal_slot,2,34
6,internal_slot,3,36
7,birth_slot,0,196
7,birth_slot,1,166
7,birth_slot,2,189
7,birth_slot,3,197
7,overseas_slot,0,50
7,overseas_slot,1,55
7,overseas_slot,2,56
7,overseas_slot,3,51
7,internal_slot,0,35
7,internal_slot,1,35
7,internal_slot,2,34
7,internal_slot,3,35
8,birth_slot,0,203
8,birth_slot,1,178
8,birth_slot,2,190
8,birth_slot,3,201
8,overseas_slot,0,48
8,overseas_slot,1,55
8,overseas_slot,2,56
8,overseas_slot,3,51
8,internal_slot,0,35
8,internal_slot,1,35
8,internal_slot,2,34
8,internal_slot,3,33
9,birth_slot,0,201
9,birth_slot,1,181
9,birth_slot,2,199
9,birth_slot,3,197
9,overseas_slot,0,46
9,overseas_slot,1,53
9,overseas_slot,2,55
9,overseas_slot,3,49
9,internal_slot,0,33
9,internal_slot,1,35
9,internal_slot,2,33
9,internal_slot,3,33
10,birth_slot,0,207
10,birth_slot,1,192
10,birth_slot,2,205
10,birth_slot,3,203
10,overseas_slot,0,45
10,overseas_slot,1,51
10,overseas_slot,2,54
10,overseas_slot,3,48
10,internal_slot,0,33
10,internal_slot,1,35
10,internal_slot,2,32
10,internal_slot,3,32
11,birth_slot,0,210
11,birth_slot,1,190
11,birth_slot,2,210
11,birth_slot,3,209
11,overseas_slot,0,45
11,overseas_slot,1,51
11,overseas_slot,2,53
11,overseas_slot,3,47
11,internal_slot,0,31
11,internal_slot,1,34
11,internal_slot,2,31
11,internal_slot,3,31
