tick,entry_stream,area,count
0,birth_slot,0,215
0,birth_slot,1,195
0,birth_slot,2,217
0,birth_slot,3,217
0,overseas_slot,0,44
0,overseas_slot,1,51
0,overseas_slot,2,50
0,overseas_slot,3,45
0,internal_slot,0,31
0,internal_slot,1,32
0,internal_slot,2,30
0,internal_slot,3,31
1,birth_slot,0,236
1,birth_slot,1,209
1,birth_slot,2,223
1,birth_slot,3,227
1,overseas_slot,0,43
1,overseas_slot,1,47
1,overseas_slot,2,48
1,overseas_slot,3,44
1,internal_slot,0,31
1,internal_slot,1,31
1,internal_slot,2,29
1,internal_slot,3,30
2,birth_slot,0,246
2,birth_slot,1,221
2,birth_slot,2,241
2,birth_slot,3,233
2,overseas_slot,0,43
2,overseas_slot,1,45
2,overseas_slot,2,46
2,overseas_slot,3,43
2,internal_slot,0,31
2,internal_slot,1,31
2,internal_slot,2,28
2,internal_slot,3,28
3,birth_slot,0,259
3,birth_slot,1,229
3,birth_slot,2,240
3,birth_slot,3,242
3,overseas_slot,0,43
3,overseas_slot,1,44
3,overseas_slot,2,40
3,overseas_slot,3,43
3,internal_slot,0,28
3,internal_slot,1,29
3,internal_slot,2,26
3,internal_slot,3,26
4,birth_slot,0,270
4,birth_slot,1,239
4,birth_slot,2,244
4,birth_slot,3,249
4,overseas_slot,0,42
4,overseas_slot,1,43
4,overseas_slot,2,38
4,overseas_slot,3,43
4,internal_slot,0,26
4,internal_slot,1,28
4,internal_slot,2,26
4,internal_slot,3,26
5,birth_slot,0,275
5,birth_slot,1,250
5,birth_slot,2,257
5,birth_slot,3,261
5,overseas_slot,0,42
5,overseas_slot,1,40
5,overseas_slot,2,38
5,overseas_slot,3,42
5,internal_slot,0,26
5,internal_slot,1,28
5,internal_slot,2,28
5,internal_slot,3,23
6,birth_slot,0,295
6,birth_slot,1,254
6,birth_slot,2,261
6,birth_slot,3,269
6,overseas_slot,0,41
6,overseas_slot,1,36
6,overseas_slot,2,36
6,overseas_slot,3,40
6,internal_slot,0,26
6,internal_slot,1,26
6,internal_slot,2,25
6,internal_slot,3,21
7,birth_slot,0,308
7,birth_slot,1,266
7,birth_slot,2,274
7,birth_slot,3,278
7,overseas_slot,0,41
7,overseas_slot,1,37
7,overseas_slot,2,35
7,overseas_slot,3,40
7,internal_slot,0,24
7,internal_slot,1,26
7,internal_slot,2,23
7,internal_slot,3,20
8,birth_slot,0,312
8,birth_slot,1,283
8,birth_slot,2,287
8,birth_slot,3,277
8,overseas_slot,0,39
8,overseas_slot,1,36
8,overseas_slot,2,34
8,overseas_slot,3,40
8,internal_slot,0,22
8,internal_slot,1,26
8,internal_slot,2,20
8,internal_slot,3,20
9,birth_slot,0,323
9,birth_slot,1,288
9,birth_slot,2,294
9,birth_slot,3,291
9,overseas_slot,0,39
9,overseas_slot,1,37
9,overseas_slot,2,31
9,overseas_slot,3,38
9,internal_slot,0,21
9,internal_slot,1,24
9,internal_slot,2,20
9,internal_slot,3,20
10,birth_slot,0,334
10,birth_slot,1,300
10,birth_slot,2,299
10,birth_slot,3,299
10,overseas_slot,0,36
10,overseas_slot,1,36
10,overseas_slot,2,29
10,overseas_slot,3,37
10,internal_slot,0,20
10,internal_slot,1,23
10,internal_slot,2,20
10,internal_slot,3,21
11,birth_slot,0,334
11,birth_slot,1,301
11,birth_slot,2,314
11,birth_slot,3,309
11,overseas_slot,0,37
11,overseas_slot,1,36
11,overseas_slot,2,28
11,overseas_slot,3,37
11,internal_slot,0,19
11,internal_slot,1,22
11,internal_slot,2,17
11,internal_slot,3,22
