# arm_a_model=demographic_slots
# arm_b_model=demographic_slots
# arm_a_params={"birth_rate":0.025,"emigration_rate":0.002,"internal_arrival_rate":0.004,"internal_departure_rate":0.0025,"mortality_adult":0.003,"mortality_old":0.012,"mortality_young":0.001,"overseas_arrival_rate":0.005}
# arm_b_params={"birth_rate":0.025,"emigration_rate":0.002,"internal_arrival_rate":0.036,"internal_departure_rate":0.0025,"mortality_adult":0.003,"mortality_old":0.012,"mortality_young":0.001,"overseas_arrival_rate":0.04}
# seed=7404
# dt_a=1
# dt_b=1
tick,age_00_04_a,age_20_24_a,age_65_69_a,age_85_plus_a,births_this_tick_a,deaths_this_tick_a,females_a,internal_arrivals_this_tick_a,internal_departures_this_tick_a,invalid_age_a,locked_out_a,males_a,max_generation_a,overseas_arrivals_this_tick_a,overseas_departures_this_tick_a,population_a,vacant_birth_slots_a,vacant_internal_slots_a,vacant_overseas_slots_a,fired_age_monthly_a,fired_birth_activate_a,fired_clear_event_a,fired_die_adult_a,fired_die_old_a,fired_die_young_a,fired_emigrate_a,fired_internal_arrive_a,fired_internal_depart_a,fired_overseas_arrive_a,deferred_total_a,age_00_04_b,age_20_24_b,age_65_69_b,age_85_plus_b,births_this_tick_b,deaths_this_tick_b,females_b,internal_arrivals_this_tick_b,internal_departures_this_tick_b,invalid_age_b,locked_out_b,males_b,max_generation_b,overseas_arrivals_this_tick_b,overseas_departures_this_tick_b,population_b,vacant_birth_slots_b,vacant_internal_slots_b,vacant_overseas_slots_b,fired_age_monthly_b,fired_birth_activate_b,fired_clear_event_b,fired_die_adult_b,fired_die_old_b,fired_die_young_b,fired_emigrate_b,fired_internal_arrive_b,fired_internal_depart_b,fired_overseas_arrive_b,deferred_total_b,dage_00_04,dage_20_24,dage_65_69,dage_85_plus,dbirths_this_tick,ddeaths_this_tick,dfemales,dinternal_arrivals_this_tick,dinternal_departures_this_tick,dinvalid_age,dlocked_out,dmales,dmax_generation,doverseas_arrivals_this_tick,doverseas_departures_this_tick,dpopulation,dvacant_birth_slots,dvacant_internal_slots,dvacant_overseas_slots,dfired_age_monthly,dfired_birth_activate,dfired_clear_event,dfired_die_adult,dfired_die_old,dfired_die_young,dfired_emigrate,dfired_internal_arrive,dfired_internal_depart,dfired_overseas_arrive,ddeferred_total
0,231,220,217,227,14,20,1993,1,10,0,18,1986,1,3,9,3979,586,149,247,4000,14,0,5,13,2,9,1,10,3,1,231,220,218,230,14,20,1998,3,10,0,27,1990,1,10,9,3988,586,147,240,4000,14,0,5,13,2,9,3,10,10,1,0,0,1,3,0,0,5,2,0,0,9,4,0,7,0,9,0,-2,-7,0,0,0,0,0,0,0,2,0,7,0
1,245,218,209,227,20,27,1990,0,6,0,22,1975,1,2,3,3965,605,149,245,3979,20,57,8,18,1,3,0,6,2,0,245,220,212,231,20,27,2000,5,6,0,37,1989,1,12,3,3989,605,142,228,3988,20,66,8,18,1,3,5,6,12,0,0,2,3,4,0,0,10,5,0,0,15,14,0,10,0,24,0,-7,-17,9,0,9,0,0,0,0,5,0,10,0
2,254,217,209,227,15,21,1980,1,9,0,16,1962,1,0,9,3942,626,148,245,3965,15,58,7,13,1,9,1,9,0,0,254,219,212,231,15,21,1993,3,9,0,23,1980,1,5,9,3973,626,139,223,3989,15,73,7,13,1,9,3,9,5,0,0,2,3,4,0,0,13,2,0,0,7,18,0,5,0,31,0,-9,-22,24,0,15,0,0,0,0,2,0,5,0
3,260,214,208,231,10,10,1971,0,8,0,11,1957,2,1,7,3928,655,148,244,3942,10,55,5,5,0,7,0,8,1,0,260,216,211,236,10,10,1988,2,8,0,19,1979,2,7,7,3967,655,137,216,3973,10,62,5,5,0,7,2,8,7,0,0,2,3,5,0,0,17,2,0,0,8,22,0,6,0,39,0,-11,-28,31,0,7,0,0,0,0,2,0,6,0
4,262,212,205,229,8,30,1954,1,11,0,11,1939,2,2,5,3893,672,147,242,3928,8,36,13,16,1,5,1,11,2,0,262,215,208,234,8,30,1976,5,11,0,18,1963,2,5,5,3939,672,132,211,3967,8,44,13,16,1,5,5,11,5,0,0,3,3,5,0,0,22,4,0,0,7,24,0,3,0,46,0,-15,-31,39,0,8,0,0,0,0,4,0,3,0
5,284,210,201,231,26,19,1944,0,8,0,26,1936,2,0,12,3880,692,147,242,3893,26,57,11,8,0,12,0,8,0,0,284,214,205,236,26,19,1970,2,8,0,34,1963,2,6,13,3933,692,130,205,3939,26,64,11,8,0,13,2,8,6,0,0,4,4,5,0,0,26,2,0,0,8,27,0,6,1,53,0,-17,-37,46,0,7,0,0,0,1,2,0,6,0
6,294,208,194,230,15,24,1931,0,10,0,16,1926,2,1,5,3857,716,147,241,3880,15,65,6,17,1,5,0,10,1,0,294,213,198,235,15,24,1962,2,10,0,24,1956,2,7,5,3918,716,128,199,3933,15,74,6,17,1,5,2,10,7,0,0,5,4,5,0,0,31,2,0,0,8,30,0,6,0,61,0,-19,-42,53,0,9,0,0,0,0,2,0,6,0
7,306,207,191,231,17,14,1933,0,9,0,17,1911,2,0,7,3844,738,147,241,3857,17,55,5,9,0,7,0,9,0,0,306,212,194,236,17,14,1966,3,10,0,23,1944,2,3,7,3910,738,125,196,3918,17,63,5,9,0,7,3,10,3,0,0,5,3,5,0,0,33,3,1,0,6,33,0,3,0,66,0,-22,-45,61,0,8,0,0,0,0,3,1,3,0
8,314,205,189,234,12,22,1927,1,7,0,15,1898,2,2,5,3825,756,146,239,3844,12,47,10,12,0,5,1,7,2,0,314,210,193,239,12,22,1965,7,7,0,26,1937,2,7,5,3902,756,119,189,3910,12,54,10,12,0,5,7,7,7,0,0,5,4,5,0,0,38,6,0,0,11,39,0,5,0,77,0,-27,-50,66,0,7,0,0,0,0,6,0,5,0
9,329,202,185,234,19,22,1923,0,6,0,21,1885,2,2,10,3808,771,146,237,3825,19,49,2,19,1,10,0,6,2,0,329,208,189,239,19,22,1965,3,6,0,28,1927,2,6,10,3892,771,116,183,3902,19,60,2,19,1,10,3,6,6,0,0,6,4,5,0,0,42,3,0,0,7,42,0,4,0,84,0,-30,-54,77,0,11,0,0,0,0,3,0,4,0
