tick,sex,area,age_months,count
0,male,0,0,58
0,male,0,1,56
0,male,0,2,56
0,male,0,3,54
0,male,0,4,57
0,male,0,5,55
0,male,0,6,55
0,male,0,7,55
0,male,0,8,54
0,male,0,9,56
0,male,0,10,56
0,male,0,11,56
0,male,0,12,56
0,male,0,13,55
0,male,0,14,56
0,male,0,15,53
0,male,0,16,55
0,male,0,17,54
0,male,0,18,2
0,male,2,0,58
0,male,2,1,56
0,male,2,2,55
0,male,2,3,56
0,male,2,4,55
0,male,2,5,55
0,male,2,6,57
0,male,2,7,54
0,male,2,8,54
0,male,2,9,55
0,male,2,10,56
0,male,2,11,54
0,male,2,12,56
0,male,2,13,55
0,male,2,14,55
0,male,2,15,55
0,male,2,16,53
0,male,2,17,55
0,male,2,18,2
0,female,1,0,58
0,female,1,1,55
0,female,1,2,56
0,female,1,3,54
0,female,1,4,56
0,female,1,5,55
0,female,1,6,55
0,female,1,7,56
0,female,1,8,55
0,female,1,9,56
0,female,1,10,56
0,female,1,11,56
0,female,1,12,56
0,female,1,13,56
0,female,1,14,56
0,female,1,15,54
0,female,1,16,55
0,female,1,17,56
0,female,1,18,1
0,female,3,0,56
0,female,3,1,54
0,female,3,2,55
0,female,3,3,56
0,female,3,4,56
0,female,3,5,55
0,female,3,6,55
0,female,3,7,55
0,female,3,8,55
0,female,3,9,56
0,female,3,10,55
0,female,3,11,56
0,female,3,12,55
0,female,3,13,55
0,female,3,14,55
0,female,3,15,57
0,female,3,16,54
0,female,3,17,53
0,female,3,18,2
1,male,0,0,60
1,male,0,1,56
1,male,0,2,56
1,male,0,3,55
1,male,0,4,56
1,male,0,5,55
1,male,0,6,56
1,male,0,7,53
1,male,0,8,54
1,male,0,9,57
1,male,0,10,55
1,male,0,11,56
1,male,0,12,56
1,male,0,13,55
1,male,0,14,54
1,male,0,15,53
1,male,0,16,54
1,male,0,17,54
1,male,0,18,3
1,male,2,0,62
1,male,2,1,56
1,male,2,2,55
1,male,2,3,56
1,male,2,4,56
1,male,2,5,55
1,male,2,6,57
1,male,2,7,53
1,male,2,8,53
1,male,2,9,53
1,male,2,10,56
1,male,2,11,54
1,male,2,12,57
1,male,2,13,53
1,male,2,14,55
1,male,2,15,55
1,male,2,16,52
1,male,2,17,53
1,male,2,18,3
1,female,1,0,60
1,female,1,1,55
1,female,1,2,56
1,female,1,3,54
1,female,1,4,56
1,female,1,5,55
1,female,1,6,56
1,female,1,7,55
1,female,1,8,54
1,female,1,9,56
1,female,1,10,55
1,female,1,11,56
1,female,1,12,56
1,female,1,13,54
1,female,1,14,53
1,female,1,15,53
1,female,1,16,55
1,female,1,17,55
1,female,1,18,2
1,female,3,0,60
1,female,3,1,54
1,female,3,2,54
1,female,3,3,56
1,female,3,4,56
1,female,3,5,54
1,female,3,6,55
1,female,3,7,57
1,female,3,8,55
1,female,3,9,55
1,female,3,10,55
1,female,3,11,56
1,female,3,12,55
1,female,3,13,54
1,female,3,14,55
1,female,3,15,56
1,female,3,16,54
1,female,3,17,48
1,female,3,18,3
2,male,0,0,64
2,male,0,1,55
2,male,0,2,56
2,male,0,3,55
2,male,0,4,56
2,male,0,5,55
2,male,0,6,56
2,male,0,7,53
2,male,0,8,54
2,male,0,9,57
2,male,0,10,55
2,male,0,11,56
2,male,0,12,56
2,male,0,13,55
2,male,0,14,53
2,male,0,15,52
2,male,0,16,54
2,male,0,17,53
2,male,0,18,4
2,male,2,0,63
2,male,2,1,55
2,male,2,2,55
2,male,2,3,56
2,male,2,4,56
2,male,2,5,56
2,male,2,6,56
2,male,2,7,53
2,male,2,8,52
2,male,2,9,51
2,male,2,10,56
2,male,2,11,54
2,male,2,12,56
2,male,2,13,52
2,male,2,14,55
2,male,2,15,54
2,male,2,16,52
2,male,2,17,53
2,male,2,18,4
2,female,1,0,60
2,female,1,1,55
2,female,1,2,56
2,female,1,3,54
2,female,1,4,56
2,female,1,5,55
2,female,1,6,55
2,female,1,7,55
2,female,1,8,55
2,female,1,9,55
2,female,1,10,55
2,female,1,11,55
2,female,1,12,56
2,female,1,13,52
2,female,1,14,52
2,female,1,15,54
2,female,1,16,53
2,female,1,17,55
2,female,1,18,3
2,female,3,0,63
2,female,3,1,54
2,female,3,2,53
2,female,3,3,56
2,female,3,4,56
2,female,3,5,54
2,female,3,6,54
2,female,3,7,54
2,female,3,8,56
2,female,3,9,55
2,female,3,10,55
2,female,3,11,54
2,female,3,12,55
2,female,3,13,53
2,female,3,14,54
2,female,3,15,54
2,female,3,16,52
2,female,3,17,47
2,female,3,18,4
3,male,0,0,65
3,male,0,1,54
3,male,0,2,56
3,male,0,3,55
3,male,0,4,56
3,male,0,5,56
3,male,0,6,56
3,male,0,7,55
3,male,0,8,53
3,male,0,9,56
3,male,0,10,56
3,male,0,11,55
3,male,0,12,56
3,male,0,13,54
3,male,0,14,53
3,male,0,15,50
3,male,0,16,51
3,male,0,17,53
3,male,0,18,5
3,male,2,0,68
3,male,2,1,55
