tick,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,females_p05,females_p25,females_p50,females_p75,females_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,males_p05,males_p25,males_p50,males_p75,males_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,population_p05,population_p25,population_p50,population_p75,population_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,226,230,236,236,239,223,224,224,225,225,213,214,215,218,221,225,225,227,227,229,10,13,19,20,22,12,17,25,25,28,1992,1992,1994,1997,1999,2,3,4,5,9,3,6,8,9,10,0,0,0,0,0,18,22,26,30,33,1987,1994,1995,1997,2002,1,1,1,1,1,2,4,4,6,7,4,5,9,9,10,3979,3986,3992,3993,3996,578,580,583,587,590,141,145,147,147,148,243,244,246,246,248,4000,4000,4000,4000,4000,10,13,19,20,22,0,0,0,0,0,1,4,7,7,10,10,11,14,17,23,0,1,1,1,1,4,5,9,9,10,2,3,4,5,9,3,6,8,9,10,2,4,4,6,7,0,0,0,0,0
1,229,242,247,250,252,222,222,224,224,225,209,210,214,216,218,221,224,228,228,230,7,14,16,20,23,16,16,18,20,23,1983,1983,1991,1993,2001,1,1,3,4,4,4,7,8,9,11,0,0,0,0,0,11,22,25,28,31,1983,1989,1992,1992,1995,1,1,1,1,1,3,4,4,6,8,2,5,7,8,9,3966,3973,3982,3986,3993,593,597,608,612,613,140,141,145,145,145,238,239,242,242,243,3979,3986,3992,3993,3996,7,14,16,20,23,47,52,70,71,74,2,2,7,8,8,8,10,13,14,21,0,0,0,1,1,2,5,7,8,9,1,1,3,4,4,4,7,8,9,11,3,4,4,6,8,0,0,0,0,0
2,234,245,257,260,260,220,221,223,224,225,206,208,210,212,212,223,225,228,230,231,7,12,13,15,20,13,14,17,21,30,1965,1974,1977,1987,1989,1,2,2,3,3,7,10,12,12,14,0,0,0,0,0,10,16,19,22,27,1970,1978,1988,1988,1990,1,1,2,2,2,1,2,4,5,5,6,6,10,10,10,3935,3961,3967,3967,3975,612,617,624,628,634,138,139,142,142,144,235,235,237,239,241,3966,3973,3982,3986,3993,7,12,13,15,20,45,47,57,62,68,1,1,4,4,7,11,11,13,16,22,0,1,1,1,2,6,6,10,10,10,1,2,2,3,3,7,10,12,12,14,1,2,4,5,5,0,0,0,0,0
3,241,255,275,276,279,218,218,220,221,223,204,205,208,209,210,223,225,227,227,227,11,14,19,21,22,18,20,22,23,25,1950,1966,1972,1976,1978,0,1,3,4,5,7,9,12,12,13,0,0,0,0,0,20,22,24,25,26,1957,1976,1980,1981,1981,1,2,2,2,2,2,3,4,5,6,4,7,8,10,15,3907,3943,3952,3953,3959,628,636,644,645,673,136,137,140,140,141,230,232,233,235,236,3935,3961,3967,3967,3975,11,14,19,21,22,41,50,60,63,69,4,4,5,7,9,14,14,15,16,18,0,0,0,1,2,4,7,8,10,15,0,1,3,4,5,7,9,12,12,13,2,3,4,5,6,0,0,0,0,0
4,253,264,286,291,293,217,217,219,221,223,200,200,201,206,206,223,223,227,228,229,14,16,18,19,21,14,18,20,23,30,1944,1957,1963,1969,1975,0,0,1,1,3,5,7,11,11,12,0,0,0,0,0,17,20,24,26,27,1953,1967,1973,1973,1974,2,2,2,2,2,3,3,5,5,5,3,3,7,8,15,3897,3926,3936,3936,3949,653,657,658,672,704,135,135,139,141,141,227,228,229,231,231,3907,3943,3952,3953,3959,14,16,18,19,21,53,64,66,67,68,5,5,7,7,8,5,11,12,15,25,0,1,2,2,2,3,3,7,8,15,0,0,1,1,3,5,7,11,11,12,3,3,5,5,5,0,0,0,0,0
5,260,271,295,296,305,217,217,219,222,224,195,196,199,205,207,224,225,226,227,229,6,12,13,19,24,14,18,20,21,23,1936,1945,1953,1959,1978,1,1,2,3,4,7,8,10,11,14,0,0,0,0,0,18,20,21,23,27,1948,1953,1967,1967,1968,2,2,2,2,2,2,2,6,6,8,4,4,6,9,19,3884,3905,3913,3926,3945,659,678,692,693,724,133,133,137,138,139,220,221,225,227,230,3897,3926,3936,3936,3949,6,12,13,19,24,50,51,65,66,70,2,2,6,9,10,6,11,14,15,16,0,1,1,1,2,4,4,6,9,19,1,1,2,3,4,7,8,10,11,14,2,2,6,6,8,0,0,0,0,0
6,259,278,304,312,313,216,216,218,220,225,195,195,199,203,208,222,224,226,228,231,8,11,13,15,19,15,16,17,18,20,1928,1938,1947,1962,1964,1,2,4,4,5,5,5,10,11,12,0,0,0,0,0,10,15,23,25,32,1936,1951,1960,1963,1967,2,2,2,2,2,0,1,7,8,10,2,4,8,11,15,3864,3894,3905,3922,3927,677,698,715,719,749,128,132,134,135,135,212,212,224,227,229,3884,3905,3913,3926,3945,8,11,13,15,19,55,55,56,58,71,1,4,5,6,7,9,10,13,13,13,0,0,0,2,3,2,4,8,11,15,1,2,4,4,5,5,5,10,11,12,0,1,7,8,10,0,0,0,1,1
7,272,292,313,320,326,213,214,217,217,223,190,191,200,201,206,225,227,229,231,234,13,14,17,17,18,18,18,19,19,21,1926,1937,1944,1955,1957,1,1,4,4,6,4,6,8,9,11,0,0,0,0,0,21,21,25,27,29,1939,1941,1953,1957,1960,2,2,2,2,2,2,4,6,6,8,2,5,8,10,12,3865,3878,3900,3908,3914,697,707,737,744,762,127,127,130,131,134,204,207,221,222,225,3864,3894,3905,3922,3927,13,14,17,17,18,40,46,54,68,69,4,4,5,8,10,11,11,13,14,15,0,0,0,1,1,2,5,8,10,12,1,1,4,4,6,4,6,8,9,11,2,4,6,6,8,0,0,0,0,1
8,287,305,327,337,349,214,214,215,217,221,188,189,196,199,202,226,227,228,230,235,15,18,21,25,26,15,18,19,21,25,1926,1928,1945,1947,1953,0,1,2,3,4,4,8,10,11,12,0,0,0,0,0,20,22,30,33,34,1933,1933,1949,1953,1956,2,2,2,2,2,3,3,5,5,11,5,8,9,10,10,3859,3861,3890,3902,3903,713,716,750,762,767,123,125,129,131,133,199,205,212,218,221,3865,3878,3900,3908,3914,15,18,21,25,26,49,54,59,61,68,4,5,5,6,6,11,11,13,14,19,0,0,1,2,2,5,8,9,10,10,0,1,2,3,4,4,8,10,11,12,3,3,5,5,11,0,0,0,0,0
9,296,320,341,346,373,211,212,214,215,220,186,187,195,197,200,226,227,228,228,232,12,15,18,22,28,10,16,20,26,28,1919,1924,1937,1940,1946,0,1,1,2,4,7,7,10,11,13,0,0,0,0,0,18,21,25,26,36,1930,1932,1942,1947,1948,2,2,2,2,2,2,2,7,7,8,3,5,8,9,14,3851,3855,3879,3880,3894,732,739,757,781,794,121,122,128,129,134,192,199,206,216,220,3859,3861,3890,3902,3903,12,15,18,22,28,54,58,69,71,72,2,3,7,7,9,7,10,12,18,20,0,1,1,1,2,3,5,8,9,14,0,1,1,2,4,7,7,10,11,13,2,2,7,7,8,0,0,0,0,0
