# params={"birth_rate":0.025,"mortality_young":0.001,"mortality_adult":0.003,"mortality_old":0.012}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,locked_out,vacant_birth_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_die_young,fired_die_adult,fired_die_old,deferred_total
0,4006,0,2013,1993,242,224,220,227,24,18,24,976,1,4000,0,24,0,7,11,0
1,4005,0,2010,1995,258,218,220,225,20,21,20,974,1,4006,42,20,0,10,11,0
2,4004,0,2011,1993,271,218,218,222,17,18,17,978,1,4005,41,17,1,3,14,0
3,4011,0,2009,2002,293,216,217,225,25,18,25,971,1,4004,35,25,2,5,11,0
4,4002,0,2009,1993,307,216,211,225,18,27,18,971,2,4011,43,18,2,4,21,0
5,4009,0,2014,1995,332,216,209,224,29,22,29,969,2,4002,45,29,0,8,14,0
6,4003,0,2012,1991,345,215,210,225,16,22,16,975,2,4009,51,16,1,7,14,0
7,4019,0,2024,1995,374,216,208,227,33,17,33,964,2,4003,38,33,1,4,12,0
8,4020,0,2028,1992,391,217,204,230,20,19,20,961,2,4019,50,20,1,4,14,0
9,4041,0,2041,2000,421,215,205,231,34,13,34,946,2,4020,39,34,1,5,7,0
10,4042,0,2040,2002,432,215,203,233,16,15,16,943,2,4041,47,16,1,3,11,0
11,4032,0,2035,1997,449,214,201,232,21,31,21,937,2,4042,31,21,4,8,19,0
12,4033,0,2037,1996,464,213,199,230,21,20,21,947,2,4032,52,21,2,8,10,0
13,4028,0,2035,1993,479,211,196,228,19,24,19,948,2,4033,41,19,0,7,17,0
14,4043,0,2041,2002,505,208,194,230,29,14,29,943,2,4028,43,29,1,4,9,0
15,4041,0,2040,2001,523,208,187,229,23,25,23,934,2,4043,43,23,3,4,18,0
16,4051,0,2039,2012,546,209,185,230,27,17,27,932,2,4041,48,27,1,7,9,0
17,4060,0,2039,2021,566,206,183,231,24,15,24,925,2,4051,44,24,1,8,6,0
18,4064,0,2039,2025,582,205,182,235,20,16,20,920,2,4060,39,20,1,7,8,0
19,4068,0,2044,2024,600,205,184,235,21,17,21,915,2,4064,36,21,0,5,12,0
20,4071,0,2048,2023,610,205,182,237,15,12,15,917,2,4068,38,15,1,4,7,0
21,4084,0,2053,2031,629,204,182,240,23,10,23,906,2,4071,27,23,1,5,4,0
22,4089,0,2053,2036,650,202,181,240,25,20,25,891,2,4084,33,25,1,8,11,0
23,4105,0,2061,2044,674,202,180,240,28,12,28,883,2,4089,45,28,0,3,9,0
