tick,sex,event_age_months,count
0,male,10,1
0,male,16,1
0,male,17,1
0,female,9,1
0,female,10,2
0,female,11,1
0,female,12,2
0,female,13,1
0,female,14,3
0,female,15,1
0,female,16,3
0,female,17,1
1,male,4,1
1,male,5,1
1,male,6,1
1,male,12,1
1,male,13,1
1,male,15,2
1,male,16,1
1,male,17,3
1,female,4,4
1,female,6,1
1,female,7,1
1,female,14,1
1,female,15,2
1,female,17,1
2,male,13,1
2,male,14,3
2,male,17,4
2,male,18,1
2,female,3,1
2,female,5,1
2,female,9,1
2,female,10,1
2,female,13,1
2,female,14,1
2,female,16,1
2,female,17,2
3,male,1,1
3,male,4,1
3,male,10,1
3,male,11,1
3,male,12,1
3,male,13,1
3,male,14,1
3,male,15,1
3,male,16,2
3,male,18,1
3,female,3,1
3,female,11,1
3,female,14,2
3,female,15,3
4,male,1,1
4,male,7,1
4,male,9,1
4,male,13,2
4,male,14,1
4,male,15,5
4,male,17,2
4,female,3,1
4,female,4,1
4,female,10,1
4,female,13,3
4,female,14,4
4,female,15,3
4,female,17,1
5,male,4,1
5,male,9,1
5,male,13,2
5,male,14,1
5,male,15,1
5,male,17,3
5,female,5,1
5,female,6,1
5,female,9,1
5,female,11,3
5,female,15,2
5,female,16,3
5,female,17,1
5,female,18,1
6,male,2,1
6,male,6,2
6,male,8,1
6,male,11,1
6,male,13,1
6,male,14,1
6,male,15,1
6,male,16,1
6,male,17,2
6,female,8,2
6,female,11,1
6,female,13,1
6,female,14,1
6,female,15,2
6,female,16,4
7,male,6,1
7,male,7,1
7,male,9,1
7,male,14,2
7,male,15,2
7,male,16,1
7,female,3,1
7,female,11,1
7,female,13,1
7,female,14,2
7,female,15,2
7,female,17,2
8,male,2,1
8,male,5,2
8,male,7,1
8,male,14,1
8,male,15,1
8,female,5,1
8,female,13,4
8,female,14,2
8,female,15,2
8,female,16,3
8,female,17,1
9,male,7,1
9,male,9,1
9,male,11,1
9,male,13,2
9,male,15,1
9,male,17,1
9,female,1,1
9,female,4,1
9,female,12,1
9,female,14,1
9,female,15,1
9,female,16,1
10,male,0,1
10,male,6,1
10,male,11,1
10,male,13,2
10,male,15,5
10,male,16,1
10,female,9,1
10,female,16,2
10,female,18,1
11,male,0,1
11,male,1,2
11,male,3,1
11,male,4,1
11,male,6,1
11,male,9,1
11,male,11,3
11,male,12,1
11,male,13,2
11,male,16,2
11,male,17,2
11,female,12,1
11,female,13,1
11,female,14,5
11,female,15,2
11,female,16,2
11,female,17,3
12,male,0,2
12,male,4,1
12,male,5,1
12,male,8,1
12,male,9,1
12,male,14,2
12,male,16,1
12,male,17,1
12,male,18,1
12,female,8,1
12,female,10,1
12,female,11,2
12,female,13,1
12,female,15,1
12,female,16,2
12,female,18,1
13,male,4,2
13,male,12,1
13,male,13,1
13,male,14,2
13,male,15,4
13,male,17,1
13,female,4,1
13,female,6,1
13,female,11,1
13,female,12,1
13,female,13,2
13,female,14,1
13,female,15,1
13,female,16,1
13,female,17,3
13,female,18,1
14,male,3,1
14,male,4,1
14,male,10,1
14,male,13,1
14,male,16,2
14,female,4,1
14,female,11,1
14,female,13,3
14,female,14,1
14,female,15,1
14,female,17,1
15,male,3,1
15,male,8,2
15,male,13,5
15,male,16,2
15,male,17,1
15,male,18,2
15,female,0,1
15,female,2,1
15,female,6,1
15,female,11,1
15,female,13,2
15,female,14,1
15,female,15,3
15,female,16,1
15,female,17,1
16,male,6,2
16,male,7,1
16,male,8,1
16,male,10,1
16,male,11,1
16,male,15,2
16,male,16,1
16,male,17,2
16,female,0,1
16,female,6,1
16,female,13,1
16,female,14,2
16,female,16,1
17,male,4,2
17,male,7,1
17,male,10,1
17,male,13,1
17,male,16,1
17,male,17,2
17,female,2,1
17,female,4,2
17,female,5,1
17,female,11,1
17,female,13,1
17,female,14,1
18,male,3,1
18,male,4,1
18,male,6,1
18,male,10,1
18,male,11,1
18,male,13,2
18,male,14,1
18,male,16,1
18,female,6,1
18,female,7,1
18,female,12,1
18,female,14,3
18,female,15,1
19,male,5,1
19,male,6,1
19,male,10,2
19,male,15,2
19,female,12,1
19,female,13,1
19,female,14,3
19,female,15,2
19,female,16,2
19,female,17,1
19,female,18,1
20,male,4,1
20,male,5,1
20,male,12,1
20,male,13,1
20,male,16,1
20,female,0,1
20,female,12,1
20,female,14,3
20,female,16,1
20,female,18,1
21,male,3,1
21,male,4,1
21,male,6,1
21,male,14,2
21,male,15,1
21,male,17,1
21,female,7,2
21,female,9,1
22,male,1,1
22,male,4,1
22,male,7,1
22,male,9,2
22,male,14,2
22,male,15,1
22,male,16,1
22,male,18,1
22,female,8,2
22,female,10,1
22,female,12,1
22,female,13,1
22,female,14,3
22,female,16,1
22,female,18,1
23,male,9,1
23,male,12,1
23,male,13,1
23,male,15,2
23,male,17,2
23,female,7,1
23,female,13,1
23,female,15,3
